publication_number,query,abstract
US20180206312A1-20180719,light setting rules device identification,"A configuration system (100) for configuring a first device (130) in a lighting system is disclosed. The configuration system (100) comprises a memory (102) arranged for storing one or more light settings (110), which light settings (110) are defined by one or more light setting rules (112). The configuration system (100) further comprises a communication unit (104) arranged for communicating with the first device (130). The configuration system (100) further comprises a processor (106) arranged for identifying a device property (132) of the first device (130) based on information received from the first device (130) via the communication unit (104). The processor (106) is further arranged for accessing one or more light settings (110) stored in the memory (102), and for associating the device property (132) with at least one of the one or more light setting rules (112) of at least one of the one or more light settings (110) only if the device property (132) is compliant with the respective light setting rule (112), and for storing the association. This method allows a user to connect the first device (130) to the configuration system (100), whereupon the configuration system (100) determines the functionality of the first device (130) in the lighting system based on the light settings (110) stored in the memory (102)."
US20180206312A1-20180719,smart lighting system auto configuration,"A configuration system (100) for configuring a first device (130) in a lighting system is disclosed. The configuration system (100) comprises a memory (102) arranged for storing one or more light settings (110), which light settings (110) are defined by one or more light setting rules (112). The configuration system (100) further comprises a communication unit (104) arranged for communicating with the first device (130). The configuration system (100) further comprises a processor (106) arranged for identifying a device property (132) of the first device (130) based on information received from the first device (130) via the communication unit (104). The processor (106) is further arranged for accessing one or more light settings (110) stored in the memory (102), and for associating the device property (132) with at least one of the one or more light setting rules (112) of at least one of the one or more light settings (110) only if the device property (132) is compliant with the respective light setting rule (112), and for storing the association. This method allows a user to connect the first device (130) to the configuration system (100), whereupon the configuration system (100) determines the functionality of the first device (130) in the lighting system based on the light settings (110) stored in the memory (102)."
US20180162871A1-20180614,calpain activity fluorescent probe,[Problem] To provide a fluorescent probe that detects calpain activity in cells at high sensitivity. [Solution] A compound represented by the following general formula (I) or a salt thereof.
US20180162871A1-20180614,compound for detecting calpain activity,[Problem] To provide a fluorescent probe that detects calpain activity in cells at high sensitivity. [Solution] A compound represented by the following general formula (I) or a salt thereof.
US20180162871A1-20180614,fluorescent probe for intracellular calpain,[Problem] To provide a fluorescent probe that detects calpain activity in cells at high sensitivity. [Solution] A compound represented by the following general formula (I) or a salt thereof.
US20180250107A1-20180906,personal cleaning appliance transducer driving coil permanent magnets,"Provided is a personal cleaning care appliance comprising: a driver (110) of said appliance comprises a transducer (130), a driving coil (114), a driving coil iron core (115), and a driver bracket (112, 113). The transducer comprises a drive shaft (111), a transducer elastic element retainer (124), permanent magnets (116, 117) arranged on the left and right sides of the longitudinal axis of the drive shaft, permanent magnet brackets (118, 119) fixedly connecting the permanent magnets, transducer transmission arms (125, 126), and transducer elastic elements (122, 123). The permanent magnets (116, 117) are independent of each other; the polarity of the magnetic pole of one side of the permanent magnet in the direction facing the driving coil (114) is S or N, and the other side of the permanent magnet has in the direction facing the driving coil (114) a polarity opposite to the polarity of the magnetic pole of said one side of the permanent magnet; the angle between the direction of the magnetic lines of force inside the permanent magnets (116, 117) and the direction of the longitudinal axis of the driving coil iron core (115) is greater than 45° and smaller than 135°; the permanent magnets (116, 117) may move with respect to the transducer elastic element retainer (124). When the current of the driving coil (114) is alternating current having a frequency of f0, the direction of movement of the permanent magnets (116, 117) is approximately parallel to the direction of the longitudinal axis of the driving coil iron core (115), and the angle between the two is greater than 170° and smaller than 190°. The present appliance has a simple and compact structure and is low in cost, easy to assemble and steady in rotation; it has low damping and is safe and reliable."
US20180250107A1-20180906,vibrating personal care device magnetic drive system,"Provided is a personal cleaning care appliance comprising: a driver (110) of said appliance comprises a transducer (130), a driving coil (114), a driving coil iron core (115), and a driver bracket (112, 113). The transducer comprises a drive shaft (111), a transducer elastic element retainer (124), permanent magnets (116, 117) arranged on the left and right sides of the longitudinal axis of the drive shaft, permanent magnet brackets (118, 119) fixedly connecting the permanent magnets, transducer transmission arms (125, 126), and transducer elastic elements (122, 123). The permanent magnets (116, 117) are independent of each other; the polarity of the magnetic pole of one side of the permanent magnet in the direction facing the driving coil (114) is S or N, and the other side of the permanent magnet has in the direction facing the driving coil (114) a polarity opposite to the polarity of the magnetic pole of said one side of the permanent magnet; the angle between the direction of the magnetic lines of force inside the permanent magnets (116, 117) and the direction of the longitudinal axis of the driving coil iron core (115) is greater than 45° and smaller than 135°; the permanent magnets (116, 117) may move with respect to the transducer elastic element retainer (124). When the current of the driving coil (114) is alternating current having a frequency of f0, the direction of movement of the permanent magnets (116, 117) is approximately parallel to the direction of the longitudinal axis of the driving coil iron core (115), and the angle between the two is greater than 170° and smaller than 190°. The present appliance has a simple and compact structure and is low in cost, easy to assemble and steady in rotation; it has low damping and is safe and reliable."
US20180250107A1-20180906,compact cleaning appliance alternating current transducer assembly,"Provided is a personal cleaning care appliance comprising: a driver (110) of said appliance comprises a transducer (130), a driving coil (114), a driving coil iron core (115), and a driver bracket (112, 113). The transducer comprises a drive shaft (111), a transducer elastic element retainer (124), permanent magnets (116, 117) arranged on the left and right sides of the longitudinal axis of the drive shaft, permanent magnet brackets (118, 119) fixedly connecting the permanent magnets, transducer transmission arms (125, 126), and transducer elastic elements (122, 123). The permanent magnets (116, 117) are independent of each other; the polarity of the magnetic pole of one side of the permanent magnet in the direction facing the driving coil (114) is S or N, and the other side of the permanent magnet has in the direction facing the driving coil (114) a polarity opposite to the polarity of the magnetic pole of said one side of the permanent magnet; the angle between the direction of the magnetic lines of force inside the permanent magnets (116, 117) and the direction of the longitudinal axis of the driving coil iron core (115) is greater than 45° and smaller than 135°; the permanent magnets (116, 117) may move with respect to the transducer elastic element retainer (124). When the current of the driving coil (114) is alternating current having a frequency of f0, the direction of movement of the permanent magnets (116, 117) is approximately parallel to the direction of the longitudinal axis of the driving coil iron core (115), and the angle between the two is greater than 170° and smaller than 190°. The present appliance has a simple and compact structure and is low in cost, easy to assemble and steady in rotation; it has low damping and is safe and reliable."
US20180252150A1-20180906,internal combustion engine prechamber control,"A method for controlling an internal combustion engine whereby, in a piston-cylinder unit provided with a prechamber, the quantity of propellant gas supplied to the prechamber is adjusted to regulate the operating characteristics of an inlet and/or outlet valve of the piston-cylinder unit."
US20180252150A1-20180906,piston-cylinder unit propellant gas regulation,"A method for controlling an internal combustion engine whereby, in a piston-cylinder unit provided with a prechamber, the quantity of propellant gas supplied to the prechamber is adjusted to regulate the operating characteristics of an inlet and/or outlet valve of the piston-cylinder unit."
US20180252150A1-20180906,engine valve control prechamber propellant,"A method for controlling an internal combustion engine whereby, in a piston-cylinder unit provided with a prechamber, the quantity of propellant gas supplied to the prechamber is adjusted to regulate the operating characteristics of an inlet and/or outlet valve of the piston-cylinder unit."
US20180142021A1-20180524,bispecific antibody CDH3 CDS T cell,"The present invention relates to a bispecific antibody construct comprising a first human binding domain which binds to human CDH3 on the surface of a target cell and a second binding domain which binds to human CDS on the surface of a T cell. Moreover, the invention provides a polynucleotide encoding the antibody construct, a vector comprising said polynucleotide and a host cell transformed or transfected with said polynucleotide or vector. Furthermore, the invention provides a process for the production of the antibody construct of the invention, a medical use of said antibody construct and a kit comprising said antibody construct."
US20180142021A1-20180524,CDH3 targeting bispecific antibody,"The present invention relates to a bispecific antibody construct comprising a first human binding domain which binds to human CDH3 on the surface of a target cell and a second binding domain which binds to human CDS on the surface of a T cell. Moreover, the invention provides a polynucleotide encoding the antibody construct, a vector comprising said polynucleotide and a host cell transformed or transfected with said polynucleotide or vector. Furthermore, the invention provides a process for the production of the antibody construct of the invention, a medical use of said antibody construct and a kit comprising said antibody construct."
US20180142021A1-20180524,CDH3 CDS bispecific antibody cancer therapy,"The present invention relates to a bispecific antibody construct comprising a first human binding domain which binds to human CDH3 on the surface of a target cell and a second binding domain which binds to human CDS on the surface of a T cell. Moreover, the invention provides a polynucleotide encoding the antibody construct, a vector comprising said polynucleotide and a host cell transformed or transfected with said polynucleotide or vector. Furthermore, the invention provides a process for the production of the antibody construct of the invention, a medical use of said antibody construct and a kit comprising said antibody construct."
US20180249750A1-20180906,ferric pyrophosphate oral iron preparation high absorption,"Provided is a powder containing ferric pyrophosphate that affords high iron absorbability, as a main component of an oral iron preparation. The present invention relates to a composite powder containing ferric pyrophosphate, which is a powder containing ferric pyrophosphate and a sodium component, wherein (1) the content of ferric pyrophosphate is 95 wt % or higher, and (2) a (Fe+Na)/P molar ratio is 0.8 to 1.0."
US20180249750A1-20180906,ferric pyrophosphate sodium composite powder iron supplement,"Provided is a powder containing ferric pyrophosphate that affords high iron absorbability, as a main component of an oral iron preparation. The present invention relates to a composite powder containing ferric pyrophosphate, which is a powder containing ferric pyrophosphate and a sodium component, wherein (1) the content of ferric pyrophosphate is 95 wt % or higher, and (2) a (Fe+Na)/P molar ratio is 0.8 to 1.0."
US20180249750A1-20180906,high purity ferric pyrophosphate (Fe+Na)/P molar ratio 0.8-1.0,"Provided is a powder containing ferric pyrophosphate that affords high iron absorbability, as a main component of an oral iron preparation. The present invention relates to a composite powder containing ferric pyrophosphate, which is a powder containing ferric pyrophosphate and a sodium component, wherein (1) the content of ferric pyrophosphate is 95 wt % or higher, and (2) a (Fe+Na)/P molar ratio is 0.8 to 1.0."
US20180214469A1-20180802,"1,2,3,4,6-penta-O-galloyl-Beta-D-glucopyranoside (PGG) liver tumor inhibition","A composition for inhibiting a liver tumor in an organism is disclosed. The composition includes an activator being 1,2,3,4,6-penta-O-galloyl-Beta-D-glucopyranoside (PGG), wherein PGG is extracted from at least one of Paeonia lactiflora Pall. and Galla Chinesis."
US20180214469A1-20180802,Paeonia lactiflora Pall. Galla Chinesis PGG extraction,"A composition for inhibiting a liver tumor in an organism is disclosed. The composition includes an activator being 1,2,3,4,6-penta-O-galloyl-Beta-D-glucopyranoside (PGG), wherein PGG is extracted from at least one of Paeonia lactiflora Pall. and Galla Chinesis."
US20180214469A1-20180802,PGG composition for liver tumor treatment,"A composition for inhibiting a liver tumor in an organism is disclosed. The composition includes an activator being 1,2,3,4,6-penta-O-galloyl-Beta-D-glucopyranoside (PGG), wherein PGG is extracted from at least one of Paeonia lactiflora Pall. and Galla Chinesis."
US20180242224A1-20180823,network access based on device profile,"The present disclosure provides access to a network based on a device profile. Configuring access to a network can include decoding uplink data received from a user equipment (UE), accessing a device profile corresponding to the UE from the decoded uplink data, and configuring an access that the UE has to an EPC network based on the device profile."
US20180242224A1-20180823,UE access EPC network device profile,"The present disclosure provides access to a network based on a device profile. Configuring access to a network can include decoding uplink data received from a user equipment (UE), accessing a device profile corresponding to the UE from the decoded uplink data, and configuring an access that the UE has to an EPC network based on the device profile."
US20180242224A1-20180823,configure network access decoding uplink data,"The present disclosure provides access to a network based on a device profile. Configuring access to a network can include decoding uplink data received from a user equipment (UE), accessing a device profile corresponding to the UE from the decoded uplink data, and configuring an access that the UE has to an EPC network based on the device profile."
US20180302753A1-20181018,barrel shaped gps tracker pet bike,"The present invention relates to a tracking system comprising a tracking device. The tracking device in the form of a barrel-shaped unit contains geo-location circuitry and communications circuitry. The unit has curved surfaces to avoid irritating an item being tracked, such as a pet or to conveniently attach to an item being tracked i.e. bike. A mounting structure of the internal circuitry braces the walls of the unit, to provide a robust structure and efficient use of the space. A battery is provided, which can be removed and replaced without removal of the tracking device from the item being tracked. A strapping arrangement is provided to mount the device to the item being tracked. The device interfaces with remote software in the form of an application or webpage, to enable users to establish the location of the tracking device and perform other functions such as tracking activity levels."
US20180302753A1-20181018,removable battery gps tracking device,"The present invention relates to a tracking system comprising a tracking device. The tracking device in the form of a barrel-shaped unit contains geo-location circuitry and communications circuitry. The unit has curved surfaces to avoid irritating an item being tracked, such as a pet or to conveniently attach to an item being tracked i.e. bike. A mounting structure of the internal circuitry braces the walls of the unit, to provide a robust structure and efficient use of the space. A battery is provided, which can be removed and replaced without removal of the tracking device from the item being tracked. A strapping arrangement is provided to mount the device to the item being tracked. The device interfaces with remote software in the form of an application or webpage, to enable users to establish the location of the tracking device and perform other functions such as tracking activity levels."
US20180302753A1-20181018,tracking device internal circuitry bracing walls,"The present invention relates to a tracking system comprising a tracking device. The tracking device in the form of a barrel-shaped unit contains geo-location circuitry and communications circuitry. The unit has curved surfaces to avoid irritating an item being tracked, such as a pet or to conveniently attach to an item being tracked i.e. bike. A mounting structure of the internal circuitry braces the walls of the unit, to provide a robust structure and efficient use of the space. A battery is provided, which can be removed and replaced without removal of the tracking device from the item being tracked. A strapping arrangement is provided to mount the device to the item being tracked. The device interfaces with remote software in the form of an application or webpage, to enable users to establish the location of the tracking device and perform other functions such as tracking activity levels."
US20180200741A1-20180719,pressure vessel safety valve control device,"Provided herein is a safety and control device for pressure vessels for application devices for liquid media including a safety valve, a control device for the operating pressure, a pressure indicator, and a pressure relief, as well as a means for connecting the device to the pressure vessel, the device having a housing, which is provided with a compressed air supply and an air outlet, and a multifunctional slide arranged within the housing The multifunctional slide defines a channel, which is connected to a blind bore and a pin and at the end has means for relieving the pressure by manual actuation. A spiral spring encloses a pin and supports the multifunctional slide with respect to a bottom of the housing. Locking means enable the pin to be arrested in a position protruding from the housing ."
US20180200741A1-20180719,multifunctional slide pressure relief device,"Provided herein is a safety and control device for pressure vessels for application devices for liquid media including a safety valve, a control device for the operating pressure, a pressure indicator, and a pressure relief, as well as a means for connecting the device to the pressure vessel, the device having a housing, which is provided with a compressed air supply and an air outlet, and a multifunctional slide arranged within the housing The multifunctional slide defines a channel, which is connected to a blind bore and a pin and at the end has means for relieving the pressure by manual actuation. A spiral spring encloses a pin and supports the multifunctional slide with respect to a bottom of the housing. Locking means enable the pin to be arrested in a position protruding from the housing ."
US20180200741A1-20180719,pressure vessel compressed air supply locking pin,"Provided herein is a safety and control device for pressure vessels for application devices for liquid media including a safety valve, a control device for the operating pressure, a pressure indicator, and a pressure relief, as well as a means for connecting the device to the pressure vessel, the device having a housing, which is provided with a compressed air supply and an air outlet, and a multifunctional slide arranged within the housing The multifunctional slide defines a channel, which is connected to a blind bore and a pin and at the end has means for relieving the pressure by manual actuation. A spiral spring encloses a pin and supports the multifunctional slide with respect to a bottom of the housing. Locking means enable the pin to be arrested in a position protruding from the housing ."
US20180155237A1-20180607,amorphous silicon silicon dioxide layer etching substrate manufacturing,"A method for manufacturing a substrate is disclosed. The method comprises the following steps: step one, depositing an amorphous silicon layer on a base material; step two, depositing a silicon dioxide layer with a first thickness on the amorphous silicon layer; and step three, etching the silicon dioxide layer until a thickness thereof is reduced to a second thickness. According to the method of the present disclosure, the silicon dioxide layer with a needed thickness can be manufactured on the amorphous silicon layer. When the ELA procedure is performed, the silicon dioxide layer has an enough thickness to prevent the formation of protrusions at grain boundary of polysilicon, so that the semi-conductive layer manufactured therein can have a relatively low roughness."
US20180155237A1-20180607,method manufacturing substrate amorphous silicon silicon dioxide ELA,"A method for manufacturing a substrate is disclosed. The method comprises the following steps: step one, depositing an amorphous silicon layer on a base material; step two, depositing a silicon dioxide layer with a first thickness on the amorphous silicon layer; and step three, etching the silicon dioxide layer until a thickness thereof is reduced to a second thickness. According to the method of the present disclosure, the silicon dioxide layer with a needed thickness can be manufactured on the amorphous silicon layer. When the ELA procedure is performed, the silicon dioxide layer has an enough thickness to prevent the formation of protrusions at grain boundary of polysilicon, so that the semi-conductive layer manufactured therein can have a relatively low roughness."
US20180155237A1-20180607,silicon dioxide layer thickness grain boundary polysilicon roughness substrate,"A method for manufacturing a substrate is disclosed. The method comprises the following steps: step one, depositing an amorphous silicon layer on a base material; step two, depositing a silicon dioxide layer with a first thickness on the amorphous silicon layer; and step three, etching the silicon dioxide layer until a thickness thereof is reduced to a second thickness. According to the method of the present disclosure, the silicon dioxide layer with a needed thickness can be manufactured on the amorphous silicon layer. When the ELA procedure is performed, the silicon dioxide layer has an enough thickness to prevent the formation of protrusions at grain boundary of polysilicon, so that the semi-conductive layer manufactured therein can have a relatively low roughness."
US20180267052A1-20180920,method identifying polyubiquitinated substrate trypsin digestion,"An object of the present invention is to provide a method for efficiently identifying a polyubiquitinated substrate which is generally not easily identified. The method for identifying a polyubiquitinated substrate includes (1) a step of expressing a trypsin-resistant polyubiquitin chain-binding protein and a ubiquitin ligase in a cell, (2) a step of isolating a complex that contains the trypsin-resistant polyubiquitin chain-binding protein from the cell having undergone the step (1), (3) a step of subjecting the complex isolated by the step (2) to trypsin digestion, and (4) a step of identifying a peptide that has a ubiquitination site from a digested material obtained by the step (3)."
US20180267052A1-20180920,trypsin-resistant polyubiquitin chain-binding protein ubiquitin ligase,"An object of the present invention is to provide a method for efficiently identifying a polyubiquitinated substrate which is generally not easily identified. The method for identifying a polyubiquitinated substrate includes (1) a step of expressing a trypsin-resistant polyubiquitin chain-binding protein and a ubiquitin ligase in a cell, (2) a step of isolating a complex that contains the trypsin-resistant polyubiquitin chain-binding protein from the cell having undergone the step (1), (3) a step of subjecting the complex isolated by the step (2) to trypsin digestion, and (4) a step of identifying a peptide that has a ubiquitination site from a digested material obtained by the step (3)."
US20180267052A1-20180920,isolating complex ubiquitination site peptide identification,"An object of the present invention is to provide a method for efficiently identifying a polyubiquitinated substrate which is generally not easily identified. The method for identifying a polyubiquitinated substrate includes (1) a step of expressing a trypsin-resistant polyubiquitin chain-binding protein and a ubiquitin ligase in a cell, (2) a step of isolating a complex that contains the trypsin-resistant polyubiquitin chain-binding protein from the cell having undergone the step (1), (3) a step of subjecting the complex isolated by the step (2) to trypsin digestion, and (4) a step of identifying a peptide that has a ubiquitination site from a digested material obtained by the step (3)."
US20180140051A1-20180524,silicone elastomer laces tear strength,"The invention is intended to provide silicone elastomer laces that are improved in terms of branding and/or ornamentation and/or tear strength and/or additional novel functions other than the mechanical properties and external appearance thereof, as well as a novel lacing solution. For this purpose, the invention relates first to a lace (1) for a shoe (2) equipped with a lace passage (3), the two edges (4, 5) of said passage having through-holes (7). The lace (1) essentially comprises at least one silicone elastomer that is at least partially cross-linked and includes one or more silicone polymers and fillers and, optionally, at least one of the following compounds: catalyst(s), cross-linking agent(s), pigment(s), parting agent(s), plasticiser(s), adhesion promoter(s). The lace is characterised in that it comprises, in the middle portion thereof, an identification zone (9) which is integral with the lace (1) and which, once the lace (1) has been passed through the through-holes (7, 7i) of the shoe (2), is intended to appear on the instep of the shoe (2), between the two lower through-holes (7i) located on either side, and at the base of, the lace passage (3) on the shoe (2). The invention also relates to a lace intended to be locked in place on the shoe (2) using a so-called “BlocKnot” plate (30) that is provided with multiple passages (20) for holding the lace (1) in place when the free ends of the strands (81) and (82) of the lace are interlaced through the passages (20) and gripped, preferably by passing the free ends of the strands (81) and (82) through the passages (20) in an alternating manner on the front and rear of the plate (30)."
US20180140051A1-20180524,shoe lace identification zone instep,"The invention is intended to provide silicone elastomer laces that are improved in terms of branding and/or ornamentation and/or tear strength and/or additional novel functions other than the mechanical properties and external appearance thereof, as well as a novel lacing solution. For this purpose, the invention relates first to a lace (1) for a shoe (2) equipped with a lace passage (3), the two edges (4, 5) of said passage having through-holes (7). The lace (1) essentially comprises at least one silicone elastomer that is at least partially cross-linked and includes one or more silicone polymers and fillers and, optionally, at least one of the following compounds: catalyst(s), cross-linking agent(s), pigment(s), parting agent(s), plasticiser(s), adhesion promoter(s). The lace is characterised in that it comprises, in the middle portion thereof, an identification zone (9) which is integral with the lace (1) and which, once the lace (1) has been passed through the through-holes (7, 7i) of the shoe (2), is intended to appear on the instep of the shoe (2), between the two lower through-holes (7i) located on either side, and at the base of, the lace passage (3) on the shoe (2). The invention also relates to a lace intended to be locked in place on the shoe (2) using a so-called “BlocKnot” plate (30) that is provided with multiple passages (20) for holding the lace (1) in place when the free ends of the strands (81) and (82) of the lace are interlaced through the passages (20) and gripped, preferably by passing the free ends of the strands (81) and (82) through the passages (20) in an alternating manner on the front and rear of the plate (30)."
US20180140051A1-20180524,lace locking plate blocknot,"The invention is intended to provide silicone elastomer laces that are improved in terms of branding and/or ornamentation and/or tear strength and/or additional novel functions other than the mechanical properties and external appearance thereof, as well as a novel lacing solution. For this purpose, the invention relates first to a lace (1) for a shoe (2) equipped with a lace passage (3), the two edges (4, 5) of said passage having through-holes (7). The lace (1) essentially comprises at least one silicone elastomer that is at least partially cross-linked and includes one or more silicone polymers and fillers and, optionally, at least one of the following compounds: catalyst(s), cross-linking agent(s), pigment(s), parting agent(s), plasticiser(s), adhesion promoter(s). The lace is characterised in that it comprises, in the middle portion thereof, an identification zone (9) which is integral with the lace (1) and which, once the lace (1) has been passed through the through-holes (7, 7i) of the shoe (2), is intended to appear on the instep of the shoe (2), between the two lower through-holes (7i) located on either side, and at the base of, the lace passage (3) on the shoe (2). The invention also relates to a lace intended to be locked in place on the shoe (2) using a so-called “BlocKnot” plate (30) that is provided with multiple passages (20) for holding the lace (1) in place when the free ends of the strands (81) and (82) of the lace are interlaced through the passages (20) and gripped, preferably by passing the free ends of the strands (81) and (82) through the passages (20) in an alternating manner on the front and rear of the plate (30)."
US20180162724A1-20180614,partially reflective partially transmissive reflector fabrication,"The present disclosure relates to a method of fabricating a reflector, the reflector being at least partially reflective and at least partially transmissive for at least a wavelength of electromagnetic radiation; the method comprising: forming a first material layer defining a bottom layer; forming a sacrificial layer on the bottom layer; forming a second material layer defining a top layer on the sacrificial layer and a supporting structure connected to the bottom layer; and removing at least part of the sacrificial layer to form a cavity between the bottom layer and the top layer such that the supporting structure supports the top layer relative to the bottom layer and no further supporting structure is provided within the cavity, wherein after the at least part of the sacrificial layer is removed, at least the top layer has residual tensile stress."
US20180162724A1-20180614,sacrificial layer cavity reflector tensile stress,"The present disclosure relates to a method of fabricating a reflector, the reflector being at least partially reflective and at least partially transmissive for at least a wavelength of electromagnetic radiation; the method comprising: forming a first material layer defining a bottom layer; forming a sacrificial layer on the bottom layer; forming a second material layer defining a top layer on the sacrificial layer and a supporting structure connected to the bottom layer; and removing at least part of the sacrificial layer to form a cavity between the bottom layer and the top layer such that the supporting structure supports the top layer relative to the bottom layer and no further supporting structure is provided within the cavity, wherein after the at least part of the sacrificial layer is removed, at least the top layer has residual tensile stress."
